Date,Heure,Tag,Alarm
2022/02/01 00:35:38.000 +01:00,3:00:00,1051FV5321,1051FV5321   FG TO BURNERS FLOW CV    AUT
2022/02/01 00:35:39.340 +01:00,3:00:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      MAN IMAN
2022/02/01 00:36:11.290 +01:00,3:00:00,1051FV5321,1051FV5321   FG TO BURNERS FLOW CV    MAN
2022/02/01 00:36:13.340 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  0.025 kg/cm2   LO
2022/02/01 00:36:15.290 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  0.025 kg/cm2   LL
2022/02/01 00:36:17.340 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  0.035 kg/cm2   LO
2022/02/01 00:36:21.340 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  0.035 kg/cm2   LL
2022/02/01 00:36:22.340 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  0.030 kg/cm2   LO
2022/02/01 00:36:40.390 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  0.030 kg/cm2   LL
2022/02/01 00:36:42.340 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  0.030 kg/cm2   LO
2022/02/01 00:37:04.340 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  0.030 kg/cm2   LL
2022/02/01 00:37:05.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  0.030 kg/cm2   LO
2022/02/01 00:37:50.040 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  0.030 kg/cm2   LL
2022/02/01 00:37:52.040 +01:00,5:02:00,1051PSLL5324_AL,1051PSLL5324 PSLL5324-FUEL GAS BURNER NR
2022/02/01 00:38:34.990 +01:00,3:02:00,1051AI5391,1051AI5391   BFW TOTAL   CONDUCTIVITY PV  =    5.1 us/cm    HI
2022/02/01 00:38:49.040 +01:00,3:02:00,1051AI5392,1051AI5392   BFW PH                   PV  =   8.75 pH   LO   Recover
2022/02/01 00:38:51.040 +01:00,3:02:00,1051AI5392,1051AI5392   BFW PH                   NR
2022/02/01 00:39:01.990 +01:00,4:00:00,1051HS5364,1051HS5364   PURG REQUESTCOMMAND      PV  =REQUEST       old=STOP      [ ONUSER@HIS0251 ]
2022/02/01 00:39:01.990 +01:00,3:00:00,1051FIC5321,1051FIC5321  FG FLOW TO  BURNERS      CAS IMAN
2022/02/01 00:39:09.040 +01:00,3:00:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      AUT IMAN
2022/02/01 00:39:11.040 +01:00,5:02:00,1051XA5312,1051XA5312   MFT (MASTER FUEL TRIP)   NR
2022/02/01 00:39:35.340 +01:00,5:02:00,1051XA5310,1051XA5310   BOILER PURGEREQUEST      ALM
2022/02/01 00:39:37.290 +01:00,5:02:00,1051ZAH5322,1051ZAH5322  MAIN BRN VENT ZSH-5322   NR
2022/02/01 00:39:49.340 +01:00,5:02:00,1051ZAL5322,1051ZAL5322  MAIN BRN VENT ZSL5322 NC NR
2022/02/01 00:39:52.340 +01:00,3:02:00,1051FI5321A,1051FI5321A  FG FLOW TO  BURNERS      PV  =   3394 kg/hr    LO   Recover
2022/02/01 00:40:25.340 +01:00,3:02:00,1051FI5321A,1051FI5321A  FG FLOW TO  BURNERS      NR
2022/02/01 00:40:27.340 +01:00,3:02:00,1051FI5321,1051FI5321   FG M.H PRESS(UPSTREAM)   PV  = 3954.5 Nm3/hr   LO   Recover
2022/02/01 00:40:38.000 +01:00,3:02:00,1051FIC5321,1051FIC5321  FG FLOW TO  BURNERS      PV  = 3954.5 Nm3/hr   LO   Recover
2022/02/01 00:41:07.340 +01:00,3:02:00,1051FIC5321,1051FIC5321  FG FLOW TO  BURNERS      NR
2022/02/01 00:41:08.340 +01:00,3:02:00,1051FI5321,1051FI5321   FG M.H PRESS(UPSTREAM)   NR
2022/02/01 00:41:14.340 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  1.375 kg/cm2   LL   Recover
2022/02/01 00:41:15.340 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  1.375 kg/cm2   LO   Recover
2022/02/01 00:41:21.340 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  1.375 kg/cm2   HI
2022/02/01 00:41:24.340 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  1.375 kg/cm2   HH
2022/02/01 00:42:38.390 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  1.405 kg/cm2   LL   Recover
2022/02/01 00:42:40.390 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  1.405 kg/cm2   LO   Recover
2022/02/01 00:43:06.040 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  1.405 kg/cm2   HI
2022/02/01 00:43:07.040 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  1.405 kg/cm2   HH
2022/02/01 00:44:00.040 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  1.195 kg/cm2   LL   Recover
2022/02/01 00:44:01.040 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  1.195 kg/cm2   LO   Recover
2022/02/01 00:44:38.040 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C NR
2022/02/01 00:44:39.040 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  1.325 kg/cm2   LL   Recover
2022/02/01 00:45:26.140 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  1.325 kg/cm2   LO   Recover
2022/02/01 00:45:27.140 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  1.325 kg/cm2   HI
2022/02/01 00:46:09.040 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  1.325 kg/cm2   HH
2022/02/01 00:46:11.040 +01:00,5:02:00,1051PSLL5324_AL,1051PSLL5324 PSLL5324-FUEL GAS BURNER ALM
2022/02/01 00:46:27.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  1.325 kg/cm2   LL   Recover
2022/02/01 00:46:29.290 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  1.325 kg/cm2   LO   Recover
2022/02/01 00:47:12.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  1.325 kg/cm2   HI
2022/02/01 00:47:14.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  1.325 kg/cm2   HH
2022/02/01 00:47:40.390 +01:00,3:02:00,1051FI5321A,1051FI5321A  FG FLOW TO  BURNERS      PV  =   1290 kg/hr    LO
2022/02/01 00:47:42.040 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  2.125 kg/cm2   HI
2022/02/01 00:47:42.340 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  2.125 kg/cm2   HH
2022/02/01 00:47:43.040 +01:00,5:02:00,1051PSHH5324_AL,1051PSHH5324 PSHH5324-FUEL GAS BURNER NR
2022/02/01 00:48:12.340 +01:00,3:00:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      AUT IMAN
2022/02/01 00:48:14.390 +01:00,3:02:00,1051FI5321,1051FI5321   FG M.H PRESS(UPSTREAM)   PV  = 1097.0 Nm3/hr   LO
2022/02/01 00:48:15.340 +01:00,3:02:00,1051FIC5321,1051FIC5321  FG FLOW TO  BURNERS      PV  = 1097.0 Nm3/hr   LO
2022/02/01 00:48:17.340 +01:00,5:02:00,1051ZAL5322,1051ZAL5322  MAIN BRN VENT ZSL5322 NC ALM
2022/02/01 00:48:56.340 +01:00,5:02:00,1051ZAH5322,1051ZAH5322  MAIN BRN VENT ZSH-5322   ALM
2022/02/01 00:48:58.340 +01:00,5:02:00,1051XA5312,1051XA5312   MFT (MASTER FUEL TRIP)   ALM
2022/02/01 00:49:01.290 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  0.790 kg/cm2   HH   Recover
2022/02/01 00:49:03.290 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  0.790 kg/cm2   HI   Recover
2022/02/01 00:49:24.340 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A NR
2022/02/01 00:49:26.340 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  0.740 kg/cm2   HH   Recover
2022/02/01 00:49:45.000 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  0.740 kg/cm2   HI   Recover
2022/02/01 00:49:46.340 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B NR
2022/02/01 00:49:49.340 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  1.100 kg/cm2   HH   Recover
2022/02/01 00:49:58.040 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  1.100 kg/cm2   HI   Recover
2022/02/01 00:49:59.040 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE NR
2022/02/01 00:50:14.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  1.100 kg/cm2   HH   Recover
2022/02/01 00:50:17.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  1.100 kg/cm2   HI   Recover
2022/02/01 00:50:52.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      NR
2022/02/01 00:50:54.340 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  1.250 kg/cm2   HH   Recover
2022/02/01 00:51:02.340 +01:00,5:02:00,1051PSHH5324_AL,1051PSHH5324 PSHH5324-FUEL GAS BURNER ALM
2022/02/01 00:51:04.390 +01:00,3:00:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      AUT IMAN
2022/02/01 00:51:08.040 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  0.555 kg/cm2   HI   Recover
2022/02/01 00:51:09.040 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C NR
